name	asciiname	cc	admin1	0
Ārangaon	Arangaon	IN	16	1
Az Zabadānī	Az Zabadani	SY	08	1
Alma		CA	10	1
Aiken		US	SC	1
Abqaiq		SA	06	1
Aïn Bessem	Ain Bessem	DZ	21	1
Angochi		AW	00	1
Atimonan		PH	40	1
Almenara		BR	15	1
Andkhōy	Andkhoy	AF	07	1
Ariyalūr	Ariyalur	IN	25	1
Ashton in Makerfield		GB	ENG	1
Asse		BE	VLG	1
Agoo		PH	01	1
Aïn Smara	Ain Smara	DZ	04	1
Agüimes	Aguimes	ES	53	1
Am Timan		TD	13	1
Ar Ruseris		SD	42	1
Asilah		MA	57	1
Ararat		AM	02	1
Altos		BR	20	1
Agawam		US	MA	1
Al Hasaheisa		SD	38	1
Adjumani		UG	N	1
Amphoe Sikhiu		TH	27	1
Avola		IT	15	1
Ālangulam	Alangulam	IN	25	1
Addanki		IN	02	1
Ambatolampy		MG	7670854	1
Acaraú	Acarau	BR	06	1
Aiud		RO	01	1
Atascadero		US	CA	1
Algemesí	Algemesi	ES	60	1
Annemasse		FR	84	1
Āgaro	Agaro	ET	51	1
Adrogué	Adrogue	AR	01	1
Allen Park		US	MI	1
Atwater		US	CA	1
Argun		RU	12	1
Ambalavao		MG	7670905	1
Ancud		CL	14	1
Aleysk		RU	04	1
Aleksandrovskoye		RU	70	1
Aso		JP	21	1
Adirampattinam		IN	25	1
Alton		US	IL	1
Afzalgarh		IN	36	1
Aracataca		CO	38	1
Aleshtar		IR	23	1
Almuñécar	Almunecar	ES	51	1
Auburn		US	NY	1
Águas Santas	Aguas Santas	PT	17	1
Aarschot		BE	VLG	1
Aix-les-Bains		FR	84	1
Az̧ Z̧āhirīyah	Az Zahiriyah	PS	WE	1
Atkarsk		RU	67	1
Annau		TM	01	1
Altstadt Sud		DE	07	1
Aguaí	Aguai	BR	27	1
Arai		JP	29	1
Ans		BE	WAL	1
Asino		RU	75	1
Alaca		TR	19	1
Atotonilco el Alto		MX	14	1
Amés	Ames	ES	58	1
Aripuanã	Aripuana	BR	14	1
Amirdzhan		AZ	09	1
Åkersberga	Akersberga	SE	26	1
Andradas		BR	15	1
Actopan		MX	13	1
Anderson		US	SC	1
Albano Laziale		IT	07	1
Ath		BE	WAL	1
Alīganj	Aliganj	IN	36	1
Armentières	Armentieres	FR	32	1
Al Wajh		SA	19	1
Acocks Green		GB	ENG	1
Agía Varvára	Agia Varvara	GR	ESYE31	1
Abbeville		FR	32	1
Al Wakrah		QA	10	1
Altglienicke		DE	16	1
Apan		MX	13	1
Al Liwā’	Al Liwa'	OM	11	1
Ad Dujayl		IQ	18	1
Ayorou		NE	09	1
Alenquer		BR	16	1
Ar Rahad		SD	56	1
American Fork		US	UT	1
Ariguaní	Ariguani	CO	10	1
Arlon		BE	WAL	1
Arraial do Cabo		BR	21	1
Aksu		KZ	10	1
Aberdeen		US	SD	1
Allen		AR	16	1
Armyans’k	Armyans'k	UA	11	1
Ambatofinandrahana		MG	7670904	1
Armavir		AM	03	1
Ankazoabo		MG	7670913	1
Ash Shaykh Miskīn	Ash Shaykh Miskin	SY	06	1
Aserrí	Aserri	CR	08	1
Amizour		DZ	18	1
Abasolo		MX	11	1
Almozara		ES	52	1
Avanigadda		IN	02	1
Annigeri		IN	19	1
Almansa		ES	54	1
Amangarh		PK	03	1
Aş Şanamayn	As Sanamayn	SY	06	1
Ampanihy		MG	7670913	1
Arnstadt		DE	15	1
Arvayheer		MN	15	1
Apaseo el Alto		MX	11	1
Aţ Ţafīlah	At Tafilah	JO	12	1
Ayutuxtepeque		SV	10	1
Āsandh	Asandh	IN	10	1
Anūpshahr	Anupshahr	IN	36	1
Assemini		IT	14	1
Anserma		CO	24	1
Alice Springs		AU	03	1
Al Bukayrīyah	Al Bukayriyah	SA	08	1
Arumuganeri		IN	25	1
Anloo		NL	01	1
Akune		JP	18	1
Ahraura		IN	36	1
Akyazı	Akyazi	TR	54	1
Afogados da Ingazeira		BR	30	1
Asheboro		US	NC	1
Ampahana		MG	7670846	1
Ābu	Abu	IN	24	1
Ábidos	Abidos	BR	16	1
Almassora		ES	60	1
Alba		IT	12	1
Aschersleben		DE	14	1
Ahmadpur Siāl	Ahmadpur Sial	PK	04	1
Ar Rām wa Ḑāḩiyat al Barīd	Ar Ram wa Dahiyat al Barid	PS	WE	1
Alingsås	Alingsas	SE	28	1
Aoulef		DZ	34	1
Apolda		DE	15	1
Attendorn		DE	07	1
Alicia		PH	02	1
Austin		US	MN	1
Adh Dhayd		AE	06	1
Airdrie		CA	01	1
Aci Catena		IT	15	1
Arauco		CL	06	1
Al Quşayr	Al Qusayr	EG	02	1
Andol		IN	40	1
Al Qubbah		LY	70	1
Acopiara		BR	06	1
Athi River		KE	31	1
Al Ḩawātah	Al Hawatah	SD	39	1
Axim		GH	09	1
Auch		FR	76	1
Achern		DE	01	1
Āndippatti	Andippatti	IN	25	1
Aldan		RU	63	1
Adra		ES	51	1
Avinashi		IN	25	1
Aranđelovac	Arangelovac	RS	SE	1
Anjad		IN	35	1
Ardmore		US	OK	1
Al Jahrā’	Al Jahra'	KW	05	1
Āron	Aron	IN	35	1
Aleksotas		LT	57	1
Artvin		TR	08	1
Alvin		US	TX	1
Ajalpan		MX	21	1
An Nimāş	An Nimas	SA	11	1
Ayakudi		IN	25	1
Aluva		IN	13	1
As Sulayyil		SA	10	1
Ati		TD	01	1
Andenne		BE	WAL	1
Abou el Hassan		DZ	41	1
Atar		MR	07	1
Arhribs		DZ	14	1
Athens		US	OH	1
Āsasa	Asasa	ET	51	1
Al Ḩarāk	Al Harak	SY	06	1
Altea		ES	60	1
Akwatia		GH	05	1
Aluva		IN	13	1
Aguada de Pasajeros		CU	08	1
Asia		PH	06	1
Ağdaş	Agdas	AZ	04	1
Al Kiswah		SY	08	1
Armação de Búzios	Armacao de Buzios	BR	21	1
Alhaurín el Grande	Alhaurin el Grande	ES	51	1
Akora		PK	03	1
Ängelholm	AEngelholm	SE	27	1
Al Mishkhāb	Al Mishkhab	IQ	17	1
Awgu		NG	47	1
Alot		IN	35	1
Anniston		US	AL	1
Arnold		US	MD	1
Annaberg-Buchholz		DE	13	1
Avellaneda		AR	21	1
Al Finţās	Al Fintas	KW	04	1
Auburn		US	ME	1
Akdağmadeni	Akdagmadeni	TR	66	1
Agde		FR	76	1
Ammi Moussa		DZ	51	1
Aalsmeer		NL	07	1
Addiet Canna		ET	46	1
Amstetten		AT	03	1
Arriaga		MX	05	1
Amarpur		IN	34	1
Alcalá la Real	Alcala la Real	ES	51	1
Acajutla		SV	13	1
Álamo	Alamo	MX	30	1
Armidale		AU	02	1
Apaseo el Grande		MX	11	1
Allende		MX	19	1
Ayapel		CO	12	1
Avon Lake		US	OH	1
Apas		PH	07	1
Águas Belas	Aguas Belas	BR	30	1
Achères	Acheres	FR	11	1
Alfreton		GB	ENG	1
Amargosa		BR	05	1
Ambato Boeny		MG	7670849	1
Ādīs Zemen	Adis Zemen	ET	46	1
Alboraya		ES	60	1
Acatzingo		MX	21	1
Ar Ruţbah	Ar Rutbah	IQ	01	1
Alliance		US	OH	1
Arbroath		GB	SCT	1
Atlacomulco		MX	15	1
Árgos	Argos	GR	ESYE25	1
Al Jumūm	Al Jumum	SA	14	1
Adra		IN	28	1
Arrasate / Mondragón	Arrasate / Mondragon	ES	59	1
Araçuaí	Aracuai	BR	15	1
Ashfield		AU	02	1
Ad Dānā	Ad Dana	SY	12	1
Arivonimamo		MG	7670855	1
Andrychów	Andrychow	PL	77	1
Ashland		US	CA	1
Athens		US	AL	1
Árta	Arta	GR	ESYE21	1
A Estrada		ES	58	1
Aïn Taya	Ain Taya	DZ	01	1
Alfter		DE	07	1
Abu Jibeha		SD	50	1
Aghajari		IR	15	1
Almonte		ES	51	1
Amersham		GB	ENG	1
Anthem		US	AZ	1
Ashland		US	KY	1
Álvares Machado	Alvares Machado	BR	27	1
Allison Park		US	PA	1
Annecy-le-Vieux		FR	84	1
Artémida	Artemida	GR	ESYE31	1
Ad Darbāsīyah	Ad Darbasiyah	SY	01	1
Aguilares		SV	10	1
Auburn Hills		US	MI	1
Atoyac de Álvarez	Atoyac de Alvarez	MX	12	1
Allauch		FR	93	1
Allende		MX	30	1
Aţ Ţaraf	At Taraf	SA	06	1
Alandi		IN	16	1
Armilla		ES	51	1
Auerbach		DE	13	1
Akaltara		IN	37	1
Amvrosiyivka		UA	05	1
Assab		ER	03	1
Antsohihy		MG	7670847	1
Arzignano		IT	20	1
Amposta		ES	56	1
Asifābād	Asifabad	IN	40	1
Abdulino		RU	55	1
Avon		US	OH	1
Albertville		US	AL	1
Āsika	Asika	IN	21	1
Adrian		US	MI	1
Aichach		DE	02	1
Ardahan		TR	86	1
Az Zuwaytīnah	Az Zuwaytinah	LY	83	1
Ampasimanolotra		MG	7670857	1
Abrama		IN	09	1
Aytos		BG	39	1
Acton		US	MA	1
Alaplı	Alapli	TR	85	1
Altena		DE	07	1
Alfafar		ES	60	1
Arnold		US	MO	1
Andapa		MG	7670846	1
Alībāg	Alibag	IN	16	1
Alīpur	Alipur	IN	07	1
Al Qayşūmah	Al Qaysumah	SA	06	1
Aristóbulo del Valle	Aristobulo del Valle	AR	14	1
Artashat		AM	02	1
Agoura		US	CA	1
Acquaviva delle Fonti		IT	13	1
Achhnera		IN	36	1
Arbutus		US	MD	1
Almeirim		BR	16	1
Anthiyur		IN	25	1
Andorra la Vella		AD	07	1
Acworth		US	GA	1
Aígio	Aigio	GR	ESYE23	1
Albardón	Albardon	AR	18	1
Abaeté	Abaete	BR	15	1
Ashland		US	OH	1
Asaita		ET	45	1
Ayamonte		ES	51	1
Agoura Hills		US	CA	1
Akkarampalle		IN	02	1
Affton		US	MO	1
Aleksandrów Łódzki	Aleksandrow Lodzki	PL	74	1
Añatuya	Anatuya	AR	22	1
Aranyaprathet		TH	80	1
Algete		ES	29	1
Aspe		ES	60	1
Alor Gajah		MY	04	1
Atherton		GB	ENG	1
Apam		GH	04	1
Ambalangoda		LK	34	1
Astorga		BR	18	1
Aki		JP	20	1
Afzalpur		IN	19	1
Allada		BJ	09	1
Ashland		US	OR	1
Akouda		TN	23	1
Arroyo Seco		AR	21	1
Andreyevskoye		RU	47	1
Al Bawīţī	Al Bawiti	EG	08	1
Al Mijlad		SD	62	1
Anak		KP	07	1
Arpino		IT	04	1
Annur		IN	25	1
Aplahoué	Aplahoue	BJ	12	1
Alhama de Murcia		ES	31	1
Altus		US	OK	1
Alcalde Díaz	Alcalde Diaz	PA	08	1
Alegre		BR	08	1
Andilamena		MG	7670851	1
Aguadas		CO	37	1
Ajnāla	Ajnala	IN	23	1
Aklera		IN	24	1
Alagir		RU	68	1
Antrim		GB	NIR	1
Allende		MX	07	1
Ahfir		MA	54	1
Arroyito		AR	05	1
Al Qarārah	Al Qararah	PS	GZ	1
Akhtyrskiy		RU	38	1
American Canyon		US	CA	1
Aistala		IN	28	1
Ābdānān	Abdanan	IR	10	1
As Samū‘	As Samu`	PS	WE	1
Algés	Alges	PT	14	1
Ayaviri		PE	21	1
Arvin		US	CA	1
Alsip		US	IL	1
Altamont		US	OR	1
Ansonia		US	CT	1
Agidel’	Agidel'	RU	08	1
Anna		RU	86	1
Almoradí	Almoradi	ES	60	1
Aalten		NL	03	1
Arese		IT	09	1
Alfeld		DE	06	1
Augusta		US	ME	1
Aimorés	Aimores	BR	15	1
Ashtabula		US	OH	1
Albertville		FR	84	1
Ashibetsu		JP	12	1
Alice		US	TX	1
Alcúdia	Alcudia	ES	07	1
Amherst Center		US	MA	1
Āmlāgora	Amlagora	IN	28	1
Anjozorobe		MG	7670856	1
Anshing		IN	16	1
Alzenau in Unterfranken		DE	02	1
Al Khawr		QA	04	1
Atalaia		BR	02	1
Alloa		GB	SCT	1
Angleton		US	TX	1
Akbarpur		IN	36	1
Anastácio	Anastacio	BR	11	1
Águas de Lindóia	Aguas de Lindoia	BR	27	1
Aalter		BE	VLG	1
Ashtarak		AM	01	1
Altona Meadows		AU	07	1
Amod		IN	09	1
Ārt Khwājah	Art Khwajah	AF	26	1
Amsterdam		US	NY	1
Agryz		RU	73	1
Acaponeta		MX	18	1
Aue		DE	13	1
Albany		US	CA	1
Avion		FR	32	1
Along		IN	30	1
Annonay		FR	84	1
Aburi		GH	05	1
Aberystwyth		GB	WLS	1
Aydūn	Aydun	JO	18	1
Areia Branca		BR	22	1
Avtury		RU	12	1
Alamo		US	TX	1
Alblasserdam		NL	11	1
Ampara		LK	37	1
Al Qiţena	Al Qitena	SD	41	1
Apatin		RS	VO	1
Amesbury		US	MA	1
Ardon		RU	68	1
Autun		FR	27	1
Apiaí	Apiai	BR	27	1
Al Ḩazm	Al Hazm	YE	21	1
Alzey		DE	08	1
Argentan		FR	28	1
Abano Terme		IT	20	1
Afipskiy		RU	38	1
Archena		ES	31	1
Allschwil		CH	BL	1
Al Mahbūlah	Al Mahbulah	KW	04	1
Anūppur	Anuppur	IN	35	1
Abaza		RU	31	1
Acajete		MX	21	1
Albert Lea		US	MN	1
Aljaraque		ES	51	1
Arukutti		IN	13	1
Arlington		US	WA	1
Altstadt Nord		DE	07	1
Amos		CA	10	1
Ascot		GB	ENG	1
Amorebieta		ES	59	1
Acqui Terme		IT	12	1
Aprelevka		RU	47	1
Alsfeld		DE	05	1
Abergele		GB	WLS	1
Amersham on the Hill		GB	ENG	1
Akureyri		IS	40	1
Ariel		IL	06	1
Aci Castello		IT	15	1
Ad Dasmah		KW	02	1
Allendale		US	MI	1
Axochiapan		MX	17	1
Arang		IN	37	1
Ariccia		IT	07	1
Arbatache		DZ	40	1
Atuntaqui		EC	11	1
Al ‘Ayzarīyah	Al `Ayzariyah	PS	WE	1
Andahuaylas		PE	03	1
Amet		IN	24	1
Andalucía	Andalucia	CO	29	1
Alotenango		GT	16	1
Ālangāyam	Alangayam	IN	25	1
Aileu		TL	AL	1
Al Hilāliyya	Al Hilaliyya	SD	38	1
Agropoli		IT	04	1
Aparecida do Taboado		BR	11	1
Al Jawf		LY	65	1
Arcueil		FR	11	1
Adjud		RO	40	1
Akhaltsikhe		GE	72	1
Ādam	Adam	OM	01	1
An Muileann gCearr		IE	L	1
Arroyo Grande		US	CA	1
Arsk		RU	73	1
Əhmədbəyli	Ahmadbayli	AZ	45	1
Aguadulce		PA	03	1
Arcata		US	CA	1
Askøy	Askoy	NO	07	1
Aghsu		AZ	06	1
Akonolinga		CM	11	1
Anoka		US	MN	1
Albenga		IT	08	1
Albolote		ES	51	1
Amroli		IN	09	1
Ardea		IT	07	1
Americus		US	GA	1
Ādampur	Adampur	IN	23	1
Aurād	Aurad	IN	19	1
Avenel		US	NJ	1
Amboanjo		MG	7670906	1
Ambohitrolomahitsy		MG	7670856	1
Ashwaubenon		US	WI	1
Armeria		MX	08	1
Arcelia		MX	12	1
Alnāvar	Alnavar	IN	19	1
Aberdeen		US	WA	1
Amarpātan	Amarpatan	IN	35	1
Ada		US	OK	1
Årsta	Arsta	SE	26	1
Aragarças	Aragarcas	BR	29	1
Achkhoy-Martan		RU	12	1
Anjala		FI	08	1
Arari		BR	13	1
Akkol’	Akkol'	KZ	03	1
Amaliáda	Amaliada	GR	ESYE23	1
Apodi		BR	22	1
Adelfia		IT	13	1
Āmta	Amta	IN	28	1
Auburn		US	MA	1
Abreus		CU	08	1
Arcore		IT	09	1
Az Zuwāydah	Az Zuwaydah	PS	GZ	1
Āthagarh	Athagarh	IN	21	1
Amaraji		BR	30	1
Anáhuac	Anahuac	MX	19	1
Amadeo		PH	40	1
Al Baţţālīyah	Al Battaliyah	SA	06	1
Alpignano		IT	12	1
Altepexi		MX	21	1
Alton		GB	ENG	1
Adiaké	Adiake	CI	89	1
Artesia		US	CA	1
Albignasego		IT	20	1
Água Preta	Agua Preta	BR	30	1
Andes		CO	02	1
Águas Vermelhas	Aguas Vermelhas	BR	15	1
Alagoa Grande		BR	17	1
Alcañiz	Alcaniz	ES	52	1
Aabenraa		DK	21	1
Abony		HU	16	1
Arroio do Meio		BR	23	1
Al Munayzilah		SA	06	1
Acatlán de Osorio	Acatlan de Osorio	MX	21	1
Augusto Corrêa	Augusto Correa	BR	16	1
Ampliación San Mateo (Colonia Solidaridad)	Ampliacion San Mateo (Colonia Solidaridad)	MX	15	1
Arhavi		TR	08	1
Asten		NL	06	1
Aurora		PH	40	1
Al Yāmūn	Al Yamun	PS	WE	1
Antonina		BR	18	1
Arsin		TR	61	1
Anaimalai		IN	25	1
Al Quţayfah	Al Qutayfah	SY	08	1
Arroio Grande		BR	23	1
Asbury Park		US	NJ	1
Ambarakaraka		MG	7670842	1
Ayang-ni		KP	06	1
Aguadilla		PR	005	1
Ardestān	Ardestan	IR	28	1
Agios Ioannis Rentis		GR	ESYE31	1
Aldridge		GB	ENG	1
Alarobia		MG	7670856	1
Ankazondandy		MG	7670856	1
Ar Ruways		AE	01	1
Abington		US	MA	1
Akwanga		NG	56	1
Athlone		IE	L	1
Albemarle		US	NC	1
Aldine		US	TX	1
Ajra		IN	16	1
Albufeira		PT	09	1
Arzgir		RU	70	1
Apostolove		UA	04	1
Ashland		US	MA	1
Abhayāpuri	Abhayapuri	IN	03	1
Arkalgūd	Arkalgud	IN	19	1
Altotonga		MX	30	1
Altai		MN	10	1
Anacortes		US	WA	1
Artsyz		UA	17	1
Avon Center		US	OH	1
Ankazobe		MG	7670856	1
Āsmār	Asmar	AF	34	1
Anicuns		BR	29	1
Ansfelden		AT	05	1
Aguazul		CO	32	1
Abuyog		PH	08	1
Asunción Mita	Asuncion Mita	GT	11	1
Audincourt		FR	27	1
Aurora		US	OH	1
Anchau		NG	23	1
Alum Rock		US	CA	1
Avenal		US	CA	1
Aarau		CH	AG	1
Aleksandrovsk		RU	90	1
Aşkale	Askale	TR	25	1
Angermünde	Angermuende	DE	11	1
Albal		ES	60	1
Ado Odo		NG	16	1
Avocado Heights		US	CA	1
Atarfe		ES	51	1
Araçoiaba da Serra	Aracoiaba da Serra	BR	27	1
Āsind	Asind	IN	24	1
Altdorf		DE	02	1
Abū Zabad	Abu Zabad	SD	62	1
Adlershof		DE	16	1
Alquízar	Alquizar	CU	AR	1
Aykhal		RU	63	1
Abomsa		ET	46	1
Aramil		RU	71	1
Alborada Jaltenco		MX	15	1
Adliswil		CH	ZH	1
Anandpur		IN	23	1
At-Bashi		KG	04	1
Aleg		MR	05	1
Astara		AZ	08	1
Ascheberg		DE	07	1
Ad Dindar		SD	58	1
Ajaokuta		NG	41	1
Araci		BR	05	1
Adelphi		US	MD	1
Alto Lucero		MX	30	1
Avon		FR	11	1
